A) SIZE= 1
B) 0   0 P0_16.000000_17.000000 16.000000 17.000000
C) 0   0 P0_16.000000_17.000000 16.000000 17.000000
C) 0   0 P0_16.000000_17.000000 16.000000 17.000000
C) 0   1 P0_10.000000_13.000000 10.000000 13.000000
C) 0   1 P0_10.000000_13.000000 10.000000 13.000000
C) 0   1 P0_23.000000_17.000000 23.000000 17.000000
C) 0   1 P0_23.000000_17.000000 23.000000 17.000000
C) 0   2 P0_22.000000_5.000000 22.000000 5.000000
C) 0   2 P0_22.000000_5.000000 22.000000 5.000000
C) 0   2 P0_23.000000_32.000000 23.000000 32.000000
C) 0   2 P0_23.000000_32.000000 23.000000 32.000000
C) 0   2 P0_8.000000_31.000000 8.000000 31.000000
C) 0   2 P0_8.000000_31.000000 8.000000 31.000000
C) 0   2 P0_9.000000_8.000000 9.000000 8.000000
C) 0   2 P0_9.000000_8.000000 9.000000 8.000000
C) 0   3 P0_1.000000_4.000000 1.000000 4.000000
C) 0   3 P0_1.000000_4.000000 1.000000 4.000000
C) 0   3 P0_13.000000_6.000000 13.000000 6.000000
C) 0   3 P0_13.000000_6.000000 13.000000 6.000000
C) 0   3 P0_18.000000_13.000000 18.000000 13.000000
C) 0   3 P0_18.000000_13.000000 18.000000 13.000000
C) 0   3 P0_21.000000_26.000000 21.000000 26.000000
C) 0   3 P0_21.000000_26.000000 21.000000 26.000000
C) 0   3 P0_31.000000_6.000000 31.000000 6.000000
C) 0   3 P0_31.000000_6.000000 31.000000 6.000000
C) 0   3 P0_32.000000_19.000000 32.000000 19.000000
C) 0   3 P0_32.000000_19.000000 32.000000 19.000000
C) 0   3 P0_8.000000_25.000000 8.000000 25.000000
C) 0   3 P0_8.000000_25.000000 8.000000 25.000000
C) 0   3 P0_9.000000_28.000000 9.000000 28.000000
C) 0   3 P0_9.000000_28.000000 9.000000 28.000000
C) 0   4 P0_12.000000_12.000000 12.000000 12.000000
C) 0   4 P0_12.000000_12.000000 12.000000 12.000000
C) 0   4 P0_12.000000_4.000000 12.000000 4.000000
C) 0   4 P0_12.000000_4.000000 12.000000 4.000000
C) 0   4 P0_13.000000_19.000000 13.000000 19.000000
C) 0   4 P0_13.000000_19.000000 13.000000 19.000000
C) 0   4 P0_13.000000_31.000000 13.000000 31.000000
C) 0   4 P0_13.000000_31.000000 13.000000 31.000000
C) 0   4 P0_18.000000_16.000000 18.000000 16.000000
C) 0   4 P0_18.000000_16.000000 18.000000 16.000000
C) 0   4 P0_18.000000_2.000000 18.000000 2.000000
C) 0   4 P0_18.000000_2.000000 18.000000 2.000000
C) 0   4 P0_18.000000_21.000000 18.000000 21.000000
C) 0   4 P0_18.000000_21.000000 18.000000 21.000000
C) 0   4 P0_19.000000_27.000000 19.000000 27.000000
C) 0   4 P0_19.000000_27.000000 19.000000 27.000000
C) 0   4 P0_2.000000_20.000000 2.000000 20.000000
C) 0   4 P0_2.000000_20.000000 2.000000 20.000000
C) 0   4 P0_25.000000_17.000000 25.000000 17.000000
C) 0   4 P0_25.000000_17.000000 25.000000 17.000000
C) 0   4 P0_27.000000_7.000000 27.000000 7.000000
C) 0   4 P0_27.000000_7.000000 27.000000 7.000000
C) 0   4 P0_28.000000_2.000000 28.000000 2.000000
C) 0   4 P0_28.000000_2.000000 28.000000 2.000000
C) 0   4 P0_28.000000_32.000000 28.000000 32.000000
C) 0   4 P0_28.000000_32.000000 28.000000 32.000000
C) 0   4 P0_3.000000_6.000000 3.000000 6.000000
C) 0   4 P0_3.000000_6.000000 3.000000 6.000000
C) 0   4 P0_4.000000_31.000000 4.000000 31.000000
C) 0   4 P0_4.000000_31.000000 4.000000 31.000000
C) 0   4 P0_5.000000_2.000000 5.000000 2.000000
C) 0   4 P0_5.000000_2.000000 5.000000 2.000000
C) 0   5 P0_1.000000_2.000000 1.000000 2.000000
C) 0   5 P0_1.000000_28.000000 1.000000 28.000000
C) 0   5 P0_12.000000_3.000000 12.000000 3.000000
C) 0   5 P0_12.000000_7.000000 12.000000 7.000000
C) 0   5 P0_14.000000_1.000000 14.000000 1.000000
C) 0   5 P0_14.000000_27.000000 14.000000 27.000000
C) 0   5 P0_14.000000_6.000000 14.000000 6.000000
C) 0   5 P0_15.000000_28.000000 15.000000 28.000000
C) 0   5 P0_16.000000_7.000000 16.000000 7.000000
